uid,family,lines,ops,code_hash,recommendation,reason
00351230,,19,7,9d1c8b5630ef2cdd,KEEP,ok
00358303,,15,4,3529d2dfc1df1efc,KEEP,ok
00351935,,33,6,c66f4e4024f6d232,KEEP,ok
00356893,,13,5,5cfd9dd72a205104,KEEP,ok
00356004,,15,4,052f99828e40b5a0,KEEP,ok
00351992,,15,4,2f095cfe32b3ba83,KEEP,ok
00356186,,13,4,389f916771e326eb,KEEP,ok
00353657,,15,4,ed77d651871b77b2,KEEP,ok
00359861,,15,4,e6ee6506cb281f18,KEEP,ok
00359698,,20,4,5b7a923f1e089dd7,KEEP,ok
00359114,,17,4,5226483cc2c83b07,KEEP,ok
00359882,,15,4,1504ae8a90c42852,KEEP,ok
00352957,,25,5,fc1326a90cbffe20,KEEP,ok
00353269,,15,4,b3fb8537b2a185b5,KEEP,ok
00353924,,19,8,cde59aabc160618a,KEEP,ok
00351387,,35,8,87be499b8d22039c,KEEP,ok
00352053,,9,3,f5c1bbfdd9d5f5b7,CUT,low_op_variety
00356484,,15,4,b786e40731594f02,KEEP,ok
00351561,,21,6,bc2a018080811f8e,KEEP,ok
00354492,,21,4,bfcb02034b429d10,KEEP,ok
00359106,,22,5,50f0b3956bc82130,KEEP,ok
00359849,,17,4,23b1abe21d225df7,KEEP,ok
00359165,,15,4,e6ee6506cb281f18,KEEP,ok
00357136,,23,5,fc135b69c11af589,KEEP,ok
00359141,,15,5,d7e0dd1b72641e58,KEEP,ok
00352945,,19,5,35941fb15e94760e,KEEP,ok
00351738,,25,7,b516e6ca0d44e084,KEEP,ok
00359936,,15,4,097c29f580562931,KEEP,ok
00352134,,23,5,770626804d2b4c80,KEEP,ok
00354272,,15,4,f9add7bfa9b8b690,KEEP,ok
00359883,,13,4,07b240870a99a46c,KEEP,ok
00350756,,14,4,e7fd703fa80f416f,KEEP,ok
00357061,,9,3,3b1d38258f702d5a,CUT,low_op_variety
00351859,,17,4,990e319dc5292954,KEEP,ok
