uid,family,lines,ops,code_hash,recommendation,reason
00351230,,25,4,6d1e87499e25e62b,KEEP,ok
00358303,,22,4,5e8e2cb64445f6e5,KEEP,ok
00351935,,43,3,0f672a882fa95f87,CUT,low_op_variety
00356893,,18,3,efdefe3d1c304c11,CUT,low_op_variety
00356004,,22,4,5c825366f504243b,KEEP,ok
00351992,,27,5,7a04741c341cd132,KEEP,ok
00356186,,18,2,3951cf41c4c24daf,DROP,trivial_code
00353657,,20,2,eb588c8edb19188b,DROP,trivial_code
00359861,,20,2,b2c4a1d6c41fa7b8,DROP,trivial_code
00359698,,25,2,66d642d867c98c13,DROP,trivial_code
00359114,,22,2,cf26e7411ccfeb38,DROP,trivial_code
00359882,,20,2,b314f533956eb910,DROP,trivial_code
00352957,,35,3,f90148572dfd46e8,CUT,low_op_variety
00353269,,22,4,d452a9c3effde0b4,KEEP,ok
00353924,,25,5,a1bcd1bb2b9aa782,KEEP,ok
00351387,,53,6,7a95c8ea1ff39b33,KEEP,ok
00352053,,15,4,011672e2f005bc8d,KEEP,ok
00356484,,20,2,df41f5b34cc6e1de,DROP,trivial_code
00351561,,27,5,0316bfc8bfa4f017,KEEP,ok
00354492,,29,4,10ad969b58d148fc,KEEP,ok
00359106,,32,3,e0ebf372a870b204,CUT,low_op_variety
00359849,,22,2,db35b952908c43b8,DROP,trivial_code
00359165,,20,2,b2c4a1d6c41fa7b8,DROP,trivial_code
00357136,,33,3,db756f69d2827c79,CUT,low_op_variety
00359141,,20,3,72d6c108c23a4489,CUT,low_op_variety
00352945,,24,3,5d7e1c2f2ff3afb2,CUT,low_op_variety
00351738,,42,5,a5515f42e6fda7bf,KEEP,ok
00359936,,22,4,e2925516a49a9ed4,KEEP,ok
00352134,,33,3,e2c335db1c282ad7,CUT,low_op_variety
00354272,,22,4,267eb4f2b9763e36,KEEP,ok
00359883,,18,2,451d86ece691b828,DROP,trivial_code
00350756,,19,2,97267139e5fb8195,DROP,trivial_code
00357061,,15,4,fa4f5ab5cd9fe632,KEEP,ok
00351859,,22,2,b00401877222f7ea,DROP,trivial_code
00355622,,22,4,d452a9c3effde0b4,KEEP,ok
00354599,,22,4,2ea9ffba826da55f,KEEP,ok
00350526,,22,4,2fadd92d19e3673f,KEEP,ok
00357618,,15,4,6db1fc1c41be1465,KEEP,ok
00351407,,34,3,cbdc8b9711026ff3,CUT,low_op_variety
00353589,,22,2,f3927861034f60d5,DROP,trivial_code
00353196,,15,4,cdc89d7e5f1a402f,KEEP,ok
00356237,,26,4,0a7dbbcc88905f1b,KEEP,ok
00359176,,20,2,cba4429bdf53acba,DROP,trivial_code
00356619,,41,5,72a1ba4aafae4db0,KEEP,ok
00356719,,17,2,711d6148c7a98ee5,DROP,trivial_code
00356753,,34,3,8dcecadcff3ce077,CUT,low_op_variety
00350794,,38,6,07c337e46cbf7cec,KEEP,ok
00359214,,22,4,d67f08858174dd8e,KEEP,ok
00359673,,25,4,99b5acf68c386528,KEEP,ok
00359110,,20,2,a0954566c0c9451f,DROP,trivial_code
00356439,,37,3,a74998374a0ee92e,CUT,low_op_variety
00353644,,20,2,b3bf89c1af640624,DROP,trivial_code
00351362,,43,3,867c2bdac728dfee,CUT,low_op_variety
00359161,,41,3,b816814bae838791,CUT,low_op_variety
00353658,,22,2,6f7fe81dd3139388,DROP,trivial_code
00357040,,20,2,b2c4a1d6c41fa7b8,DROP,trivial_code
00354495,,22,3,8ec2789884577cf1,CUT,low_op_variety
00353897,,27,5,bbac2f414c955270,KEEP,ok
00350517,,23,2,181a31e5d6515b21,DROP,trivial_code
00355171,,49,3,e65c185391d105e6,CUT,low_op_variety
00355812,,32,5,e97fcfd02211acf9,KEEP,ok
00356681,,22,4,b46d9df575b7c2d0,KEEP,ok
00351858,,35,3,a027e9e7c801ce5f,CUT,low_op_variety
00356338,,35,3,9246d81f95565ad5,CUT,low_op_variety
00352119,,35,3,de7e4be37dd44366,CUT,low_op_variety
00356353,,18,2,a839b14f08c8fcd6,DROP,trivial_code
00352135,,33,3,5f7b970da05230d1,CUT,low_op_variety
00354674,,17,2,a8b2869a14a9e5fa,DROP,trivial_code
00355430,,40,5,7b3343ef48bf8761,KEEP,ok
00359177,,20,2,d15242d9ebc0aa79,DROP,trivial_code
00359123,,18,2,ad4e3cdcd77ea717,DROP,trivial_code
00353899,,27,5,12b29df01b46236a,KEEP,ok
00359056,,27,5,bb8bda9af41e0969,KEEP,ok
00358582,,27,5,f7f93375ed860a04,KEEP,ok
00351323,,22,4,f15024d44993e405,KEEP,ok
00355190,,18,2,9e16e2f73542338e,DROP,trivial_code
00354801,,41,5,b104d6a09af22457,KEEP,ok
00351971,,25,4,fe870524b14f500e,KEEP,ok
00353954,,34,5,a116c97d31826b21,KEEP,ok
00357544,,49,5,99efffe2c1441864,KEEP,ok
00351595,,15,4,f8e844a20916d694,KEEP,ok
00357967,,25,4,e90d2e9f73684729,KEEP,ok
00352158,,30,5,a9de817273acd9e8,KEEP,ok
00355813,,32,5,cc61e7a9b3723658,KEEP,ok
00357239,,15,4,728446e4c49241c1,KEEP,ok
00359788,,33,3,6bc18dade41cff79,CUT,low_op_variety
00359166,,22,2,1d62e7390ce26b30,DROP,trivial_code
00352635,,18,2,9e5ba94e9e0bfa1d,DROP,trivial_code
00353678,,20,2,b2c4a1d6c41fa7b8,DROP,trivial_code
00356180,,46,5,ad60b00bd381d667,KEEP,ok
00353836,,25,4,99b5acf68c386528,KEEP,ok
00351414,,34,3,d2d8586d72df7845,CUT,low_op_variety
00359274,,22,4,eee6caa132b074d7,KEEP,ok
00352805,,31,3,6a04c0e9e48ac6f9,CUT,low_op_variety
00356936,,27,4,edd16264e20de230,KEEP,ok
00356469,,22,2,5136c9145fde8e3b,DROP,trivial_code
00351183,,33,3,d9976a8ec9e0ba69,CUT,low_op_variety
00358850,,47,5,273785bede3b26de,KEEP,ok
00354177,,22,4,267eb4f2b9763e36,KEEP,ok
00356343,,22,2,ea226081c7c49e97,DROP,trivial_code
00358243,,30,6,40044429143f1c8c,KEEP,ok
00359898,,20,2,b2c4a1d6c41fa7b8,DROP,trivial_code
00354281,,22,4,1c22ee4d3c8d3421,KEEP,ok
00359840,,22,2,828c64e611d4862d,DROP,trivial_code
00356490,,37,3,d38ebf58790c548e,CUT,low_op_variety
00350226,,20,2,adf2fce90cc4b507,DROP,trivial_code
00351868,,34,3,c007f7e5e58345c2,CUT,low_op_variety
00356660,,22,2,56d290ae7e7af1bf,DROP,trivial_code
00359175,,22,2,f87c4ed343237127,DROP,trivial_code
00359337,,20,2,c7045abb61b4341f,DROP,trivial_code
00351863,,20,2,b02014e36f5ac72d,DROP,trivial_code
00353691,,22,2,922d99978fd1e6ff,DROP,trivial_code
00353454,,33,3,b699472e109d7c7e,CUT,low_op_variety
00359384,,27,5,4148922c81a31313,KEEP,ok
00354883,,37,5,59338499bd48eba4,KEEP,ok
00356824,,32,5,bc32e5de1b6be00e,KEEP,ok
00350820,,42,3,b3f8c167b37eded5,CUT,low_op_variety
00359844,,22,2,13fae22dc8aeef57,DROP,trivial_code
00358247,,25,5,dfee12fb17799b0e,KEEP,ok
00359892,,20,2,b2c4a1d6c41fa7b8,DROP,trivial_code
